id,"title","description","filename",media_type_id
1,NULL,NULL,"wendys_header",1
2,NULL,NULL,"gamut_header",1
3,NULL,NULL,"skippy_yippie_header",1
4,NULL,NULL,"smashion_header",1
5,NULL,NULL,"bca_header",1
6,NULL,NULL,"lowes_vines_header",1
7,NULL,NULL,"kmart_video_header",1
8,"",NULL,"gazprom_header",1
9,NULL,NULL,"Gazprom_Casestudy",2
10,NULL,NULL,"VFILES_CS_FINAL",2
11,NULL,NULL,"BCA2014_Trailer_Final",2
12,NULL,NULL,"Skippy_Case_Study",2
13,NULL,NULL,"Wendys_CS",2
14,NULL,NULL,"gamut",2
15,NULL,NULL,"mufe_header",1
16,NULL,NULL,"MakeUpForever",2
17,NULL,NULL,"sharp_header",1
18,NULL,NULL,"sharp_experience",2
19,NULL,NULL,"roxy_header",1
20,NULL,NULL,"Roxy_01",2
21,NULL,NULL,"7forAllmankind_header",1
22,NULL,NULL,"Amtrak_header",1
23,NULL,NULL,"Armorall_header",1
24,NULL,NULL,"ATT_Flick_header",1
25,NULL,NULL,"BCA_2013_header",1
26,NULL,NULL,"Chaps_header",1
27,NULL,NULL,"ChevySonic_header",1
28,NULL,NULL,"Daffys_header",1
29,NULL,NULL,"davidb_header",1
30,NULL,NULL,"Dennys_header",1
31,NULL,NULL,"Durex_header",1
32,NULL,NULL,"EUC_header",1
33,NULL,NULL,"Google_header",1
34,NULL,NULL,"Geico_piggy_header",1
35,NULL,NULL,"Geico_ventriloquist_header",1
36,NULL,NULL,"HeardCity_header",1
37,NULL,NULL,"HM_header",1
38,NULL,NULL,"ManVSFood_header",1
39,NULL,NULL,"munchkin_header",1
40,NULL,NULL,"NineWest_header",1
41,NULL,NULL,"Parliament_header",1
42,NULL,NULL,"Pedigree_header",1
43,NULL,NULL,"SailorJerry_header",1
44,NULL,NULL,"uniqlo_header",1
45,NULL,NULL,"Verizon_header",1
46,NULL,NULL,"Zyrtec",1
47,NULL,NULL,"att2_header",1
48,NULL,NULL,"lymphoma-research_video",2
49,NULL,NULL,"wisteria_video",2
50,NULL,NULL,"dvf_video",2
51,NULL,NULL,"teen-vogue_video",2
52,NULL,NULL,"the-limited_video",2
53,NULL,NULL,"john-frieda_video",2
54,NULL,NULL,"gawker_video",2
55,NULL,NULL,"american-express_video",2
56,NULL,NULL,"loreal-multiscreen_video",2
57,NULL,NULL,"maybelline_video",2
58,NULL,NULL,"seventh-generation_video",2
59,NULL,NULL,"giorgio-armani_video",2
